EXP_FOLDER,B,n_i,phi_true,seed,method,Beta,Beta_vec,Phi,Sigmasq,Tausq,ELBO,tau_selected,Sigmasq_phi
vary_B2,49,6,2.0,1,GPmodel,7.971279621124268,,2.035620906577638,3.622824952334162,1.2517780548018644,,,1.7797149462494912
vary_B2,49,6,2.0,1,GPArealModel,7.942017078399658,,2.4612044867591156,6.0611297765879515,2.071590860000965,,,2.4626680997844166
vary_B2,49,6,2.0,1,VI_best_tau_by_ELBO,8.198347091674805,,0.2625529170036316,3.944595618904004,2.37993870917287,-680.1695129394532,0.3,1.0356650861429917
vary_B2,49,6,2.0,10,GPmodel,7.948287487030029,,3.443886525067217,5.497677856495412,1.0136119317129115,,,1.5963585955806456
vary_B2,49,6,2.0,10,GPArealModel,7.83892822265625,,4.619241537092006,7.918825934578974,3.2371146042096233,,,1.7143130254158967
vary_B2,49,6,2.0,10,VI_best_tau_by_ELBO,8.085371971130371,,0.26190629601478577,5.052893375550779,2.0296088185398484,-683.0239685058593,0.3,1.3233845881481523
vary_B2,49,6,2.0,100,GPmodel,7.867465019226074,,2.179296135882287,2.969655348695616,0.9505325633329695,,,1.3626671932281256
vary_B2,49,6,2.0,100,GPArealModel,7.770777225494385,,4.267391865228584,5.484778862399154,0.41903703327159525,,,1.2852765894526916
vary_B2,49,6,2.0,100,VI_best_tau_by_ELBO,8.070846557617188,,0.26224958896636963,3.048435762106434,2.012806186767411,-654.0876892089843,0.3,0.799451025602794
vary_B2,49,6,2.0,11,GPmodel,7.988131999969482,,1.3810995265170594,2.3383500677922626,1.3325009347568433,,,1.693107573274792
vary_B2,49,6,2.0,11,GPArealModel,8.305359840393066,,2.2917176357411173,2.9013343879032556,3.5680726825301394,,,1.2660086664494314
vary_B2,49,6,2.0,11,VI_best_tau_by_ELBO,8.3821439743042,,0.2621849775314331,1.9643718032784694,2.611254013865717,-662.5453002929687,0.3,0.5150287771059462
vary_B2,49,6,2.0,12,GPmodel,8.005237579345703,,3.1065368822025565,4.2715765519313935,1.0555850234828443,,,1.3750284364571317
vary_B2,49,6,2.0,12,GPArealModel,7.784634590148926,,3.7471523016488604,6.88067432533641,0.9847364981845762,,,1.836240902807368
vary_B2,49,6,2.0,12,VI_best_tau_by_ELBO,8.230549812316895,,0.2622182369232178,3.8047528381138775,2.0109912159506544,-669.4456848144531,0.3,0.9976755811388299
vary_B2,49,6,2.0,13,GPmodel,7.909404277801514,,1.6113239583931267,2.977487875898735,1.3970354607930053,,,1.8478517993786914
vary_B2,49,6,2.0,13,GPArealModel,7.481413841247559,,2.1817850677760746,5.256388599543949,2.1453232202504218,,,2.409214673424208
vary_B2,49,6,2.0,13,VI_best_tau_by_ELBO,8.081613540649414,,0.26261183619499207,3.6013257120016258,2.539009235233252,-679.8985961914062,0.3,0.9457507579649841
vary_B2,49,6,2.0,14,GPmodel,7.968088150024414,,1.8060295068493557,2.7358330833002182,1.2489400413496337,,,1.5148329929962872
vary_B2,49,6,2.0,14,GPArealModel,8.226574897766113,,1.8767341501214314,3.665716692334457,0.9973691916515622,,,1.953242387632405
vary_B2,49,6,2.0,14,VI_best_tau_by_ELBO,8.270599365234375,,0.2625275254249573,2.3829664456199735,2.5009464417966076,-664.828466796875,0.3,0.6255942841393176
vary_B2,49,6,2.0,15,GPmodel,7.901553153991699,,1.6743518897463874,2.4905157846308157,1.2381489582863239,,,1.4874506368001603
vary_B2,49,6,2.0,15,GPArealModel,8.087695121765137,,3.074350332771326,4.738299744259779,1.641395097712075,,,1.5412361088947566
vary_B2,49,6,2.0,15,VI_best_tau_by_ELBO,8.125555992126465,,0.26200881600379944,2.5365231283554714,2.300902777220761,-658.8285095214844,0.3,0.6645914216266705
vary_B2,49,6,2.0,16,GPmodel,7.959953784942627,,1.9043314551590727,3.4362248803549287,0.9024786770923331,,,1.8044258372384516
vary_B2,49,6,2.0,16,GPArealModel,8.518096923828125,,2.4480226072473896,5.1904185858932435,1.2111945304142526,,,2.120249449709725
vary_B2,49,6,2.0,16,VI_best_tau_by_ELBO,8.484235763549805,,0.2622182071208954,3.0367826844306127,2.2231508394694344,-660.9919921875,0.3,0.7962997109271751
vary_B2,49,6,2.0,17,GPmodel,7.970537185668945,,1.2678736365671384,2.1388118170912094,0.8469994638024073,,,1.6869282201357232
vary_B2,49,6,2.0,17,GPArealModel,8.070465087890625,,1.443154485247752,2.704297815213547,2.4551373092821263,,,1.873879645497058
vary_B2,49,6,2.0,17,VI_best_tau_by_ELBO,8.10542106628418,,0.26280057430267334,2.166067720030694,2.148134204151694,-642.8839599609375,0.3,0.5692438408025486
