EXP_FOLDER,B,n_i,phi_true,seed,method,Beta,Beta_vec,Phi,Sigmasq,Tausq,ELBO,tau_selected,results_path
vary_B2,49,6,2,1,GPArealModel,7.942017078,,0.406305126,6.061129777,2.07159086,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_1.pt
vary_B2,49,6,2,1,GPmodel,7.971279621,,0.491250604,3.622824952,1.251778055,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_1.pt
vary_B2,49,6,2,1,VI_best_tau_by_ELBO,8.198347092,,0.262552917,3.944595619,2.379938709,-679.9646606,0.3,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_1.pt
vary_B2,49,6,2,2,GPArealModel,7.920609951,,0.269283032,5.244218272,1.326644267,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_2.pt
vary_B2,49,6,2,2,GPmodel,7.878497601,,0.424007442,3.268677726,1.003306336,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_2.pt
vary_B2,49,6,2,2,VI_best_tau_by_ELBO,8.118932724,,0.262146741,2.816028843,2.099927084,-657.1491089,0.3,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_2.pt
vary_B2,49,6,2,3,GPArealModel,7.68561554,,0.609671974,4.141344559,1.391355216,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_3.pt
vary_B2,49,6,2,3,GPmodel,7.733549118,,0.617921855,2.92552145,0.89714942,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_3.pt
vary_B2,49,6,2,3,VI_best_tau_by_ELBO,7.901865959,,0.262574792,3.004590295,2.262417208,-658.4977783,0.3,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_3.pt
vary_B2,49,6,2,4,GPArealModel,8.396634102,,0.418422212,4.662007898,0.97426708,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_4.pt
vary_B2,49,6,2,4,GPmodel,8.030669212,,0.468468667,3.667475989,1.079543377,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_4.pt
vary_B2,49,6,2,4,VI_best_tau_by_ELBO,8.311454773,,0.262637854,3.240124378,2.353094311,-671.8660767,0.3,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_4.pt
vary_B2,49,6,2,5,GPArealModel,8.06609726,,0.689845586,3.18862569,1.477707019,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_5.pt
vary_B2,49,6,2,5,GPmodel,7.860740185,,1.73338993,1.979186166,1.777461977,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_5.pt
vary_B2,49,6,2,5,VI_best_tau_by_ELBO,8.199332237,,0.262319118,2.120653553,2.373995614,-654.0167969,0.3,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_5.pt
vary_B2,49,6,2,6,GPArealModel,7.707173347,,0.46853767,3.132602289,2.552730553,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_6.pt
vary_B2,49,6,2,6,GPmodel,7.960217953,,0.594516697,2.751822822,0.978560821,,,../data/results/vary_B2/B_49_n_6/phi_2.0/results_seed_6.pt
