EXP_FOLDER,B,n_i,phi_true,seed,method,Beta,Beta_vec,Phi,Sigmasq,Tausq,ELBO,tau_selected,Sigmasq_phi,results_path,n_correct_perm_s,n_correct_perm_x
vary_B2_annealed,49,6,2.0,1,GPArealModel,2.053786277770996,,0.48103856857202704,6.182287901887786,1.0455650216287171,,,12.851958877725826,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_1.pt,,
vary_B2_annealed,49,6,2.0,1,GPmodel,2.0147321224212646,,0.6068038137465824,5.860500956513477,0.3207242582944988,,,9.657983064293957,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_1.pt,,
vary_B2_annealed,49,6,2.0,1,VI_best_tau_by_ELBO,2.006481170654297,,0.262534499168396,7.044868234246663,1.5672340889159824,-617.1001586914062,0.9,,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_1.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,2,GPArealModel,1.9631139039993286,,0.29603184212667993,5.496123528488225,0.8458065717490822,,,18.56598766201741,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_2.pt,,
vary_B2_annealed,49,6,2.0,2,GPmodel,1.9345449209213257,,0.4978445562518373,4.987058282296336,0.4397829295597105,,,10.017300017987152,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_2.pt,,
vary_B2_annealed,49,6,2.0,2,VI_best_tau_by_ELBO,1.87532377243042,,0.2622956931591034,5.353624159795303,1.3834540375612274,-594.4385009765625,0.9,,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_2.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,3,GPArealModel,1.740627408027649,,0.6609829629975489,4.468336498982091,0.7165143056369702,,,6.760138686053638,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_3.pt,,
vary_B2_annealed,49,6,2.0,3,GPmodel,1.780829906463623,,0.550201928240478,4.514710328657514,0.5120869116182108,,,8.20555162919069,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_3.pt,,
vary_B2_annealed,49,6,2.0,3,VI_best_tau_by_ELBO,1.670134425163269,,0.262332022190094,5.955506415500941,1.4198709497053603,-591.5184448242187,0.9,,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_3.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,4,GPArealModel,2.50986909866333,,0.45160095749324763,5.067416421610541,0.27010204931024306,,,11.221004600474766,../data/results/Small_beta/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_4.pt,,
