EXP_FOLDER,B,n_i,phi_true,seed,method,Beta,Beta_vec,Phi,Sigmasq,Tausq,ELBO,tau_selected,Sigmasq_phi,results_path,n_correct_perm_s,n_correct_perm_x
vary_B2_annealed,49,6,2.0,1,GPArealModel,7.942017078399658,,0.40630512636387556,6.0611297765879515,2.071590860000965,,,14.917679800967543,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_1.pt,,
vary_B2_annealed,49,6,2.0,1,GPmodel,7.971279621124268,,0.49125060406322774,3.622824952334162,1.2517780548018644,,,7.374698213842555,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_1.pt,,
vary_B2_annealed,49,6,2.0,1,VI_best_tau_by_ELBO,8.152761459350586,,0.26239243149757385,4.130246099097365,2.3000146133454185,-680.0626098632813,0.9,,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_1.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,2,GPArealModel,7.920609951019287,,0.26928303235325896,5.244218272286124,1.326644266984523,,,19.474744570636357,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_2.pt,,
vary_B2_annealed,49,6,2.0,2,GPmodel,7.87849760055542,,0.42400744201412754,3.268677726350655,1.0033063358546561,,,7.709010273083239,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_2.pt,,
vary_B2_annealed,49,6,2.0,2,VI_best_tau_by_ELBO,8.222554206848145,,0.26183634996414185,2.44998417514224,1.88165851360637,-666.0543334960937,0.9,,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_2.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,3,GPArealModel,7.685615539550781,,0.6096719737225375,4.141344558988413,1.3913552158505849,,,6.792742224482086,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_3.pt,,
vary_B2_annealed,49,6,2.0,3,GPmodel,7.733549118041992,,0.6179218550584864,2.92552144990267,0.8971494199020217,,,4.734452141405112,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_3.pt,,
vary_B2_annealed,49,6,2.0,3,VI_best_tau_by_ELBO,7.882967472076416,,0.2627658545970917,3.2207710950199995,2.1669001125620295,-656.5922485351563,0.9,,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_3.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,4,GPArealModel,8.396634101867676,,0.41842221233378635,4.662007897851932,0.9742670803109337,,,11.14187478683117,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_4.pt,,
vary_B2_annealed,49,6,2.0,4,GPmodel,8.030669212341309,,0.4684686670186425,3.6674759889886843,1.0795433773620795,,,7.828647350800814,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_4.pt,,
vary_B2_annealed,49,6,2.0,4,VI_best_tau_by_ELBO,8.2545166015625,,0.2626485824584961,3.5109732103706794,2.214045697577109,-670.1960693359375,0.9,,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_4.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,5,GPArealModel,8.066097259521484,,0.6898455859607813,3.1886256902822385,1.477707019202822,,,4.622231054564604,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_5.pt,,
vary_B2_annealed,49,6,2.0,5,GPmodel,7.8607401847839355,,1.7333899295943347,1.9791861658073033,1.777461976690719,,,1.1418008908535038,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_5.pt,,
vary_B2_annealed,49,6,2.0,5,VI_best_tau_by_ELBO,8.253201484680176,,0.2626771032810211,1.9720646977669405,2.157700974022502,-653.5338623046875,0.9,,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_5.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,6,GPArealModel,7.7071733474731445,,0.4685376696068436,3.1326022889702485,2.5527305530493978,,,6.685913411399468,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_6.pt,,
vary_B2_annealed,49,6,2.0,6,GPmodel,7.9602179527282715,,0.5945166967779656,2.7518228219874183,0.9785608213026606,,,4.628672057321786,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_6.pt,,
vary_B2_annealed,49,6,2.0,6,VI_best_tau_by_ELBO,8.032798767089844,,0.26271823048591614,2.210591842996022,2.3471303283148317,-658.2077392578125,0.9,,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_6.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,7,GPArealModel,7.204721927642822,,0.6048922606472158,3.873663118409504,0.6884905384887469,,,6.403889370753076,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_7.pt,,
vary_B2_annealed,49,6,2.0,7,GPmodel,7.887331485748291,,0.7452546363466893,2.1403176676110336,0.9632589482550061,,,2.8719280138974765,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_7.pt,,
vary_B2_annealed,49,6,2.0,7,VI_best_tau_by_ELBO,7.978217124938965,,0.26248571276664734,2.554290792372519,2.2157658362209105,-650.852880859375,0.9,,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_7.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,8,GPArealModel,7.883216857910156,,0.7365940648267655,3.4909517374950028,1.4130194578563395,,,4.739315593475514,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_8.pt,,
vary_B2_annealed,49,6,2.0,8,GPmodel,7.9283037185668945,,0.7488356087682266,2.086429810199682,1.1941892048031562,,,2.7862320992342875,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_8.pt,,
vary_B2_annealed,49,6,2.0,8,VI_best_tau_by_ELBO,8.07447338104248,,0.26302841305732727,2.8944061717947895,2.024485165741573,-652.8781372070313,0.9,,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_8.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,9,GPArealModel,7.724524974822998,,0.32825820087502283,5.520271652962691,0.8101060538323605,,,16.816858309244235,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_9.pt,,
vary_B2_annealed,49,6,2.0,9,GPmodel,7.961733341217041,,0.4141214342157676,3.3052718764077937,1.2092408194443496,,,7.981407392416362,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_9.pt,,
vary_B2_annealed,49,6,2.0,9,VI_best_tau_by_ELBO,8.233176231384277,,0.262138694524765,3.189673453141042,1.9581617581199735,-659.25966796875,0.9,,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_9.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,10,GPArealModel,7.83892822265625,,0.21648575680013893,7.918825934578974,3.2371146042096233,,,36.578969682008626,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_10.pt,,
vary_B2_annealed,49,6,2.0,10,GPmodel,7.948287487030029,,0.2903696137260162,5.497677856495412,1.0136119317129115,,,18.93337868914497,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_10.pt,,
vary_B2_annealed,49,6,2.0,10,VI_best_tau_by_ELBO,8.069793701171875,,0.26176053285598755,5.185541861845483,1.8795009772309206,-681.11162109375,0.9,,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_10.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,11,GPArealModel,8.305359840393066,,0.43635393139373846,2.9013343879032556,3.5680726825301394,,,6.649039183940051,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_11.pt,,
vary_B2_annealed,49,6,2.0,11,GPmodel,7.988131999969482,,0.7240607796904114,2.3383500677922626,1.3325009347568433,,,3.2294941714590277,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_11.pt,,
vary_B2_annealed,49,6,2.0,11,VI_best_tau_by_ELBO,8.360424041748047,,0.26247158646583557,1.9208118770319986,2.5797185564922356,-661.695458984375,0.9,,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_11.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,12,GPArealModel,7.784634590148926,,0.26686932355537557,6.88067432533641,0.9847364981845762,,,25.782934635080547,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_12.pt,,
vary_B2_annealed,49,6,2.0,12,GPmodel,8.005237579345703,,0.32190185982630054,4.2715765519313935,1.0555850234828443,,,13.269810103726497,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_12.pt,,
vary_B2_annealed,49,6,2.0,12,VI_best_tau_by_ELBO,8.231284141540527,,0.2619509994983673,4.0529862860145025,1.9440328087568448,-668.9088500976562,0.9,,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_12.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,13,GPArealModel,7.481413841247559,,0.4583402896873406,5.256388599543949,2.1453232202504218,,,11.46831015691338,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_13.pt,,
vary_B2_annealed,49,6,2.0,13,GPmodel,7.909404277801514,,0.620607665386691,2.977487875898735,1.3970354607930053,,,4.7976975502606924,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_13.pt,,
vary_B2_annealed,49,6,2.0,13,VI_best_tau_by_ELBO,8.140693664550781,,0.26242804527282715,3.332752225172185,2.322826346332777,-686.2358764648437,0.9,,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_13.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,14,GPArealModel,8.226574897766113,,0.5328405197589101,3.665716692334457,0.9973691916515622,,,6.879575701174252,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_14.pt,,
vary_B2_annealed,49,6,2.0,14,GPmodel,7.968088150024414,,0.5537008095424278,2.7358330833002182,1.2489400413496337,,,4.9409952742548455,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_14.pt,,
vary_B2_annealed,49,6,2.0,14,VI_best_tau_by_ELBO,8.321898460388184,,0.26267459988594055,2.270226449202708,2.3204764301527208,-665.459521484375,0.9,,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_14.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,15,GPArealModel,8.087695121765137,,0.32527197350946185,4.738299744259779,1.641395097712075,,,14.56719339553534,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_15.pt,,
vary_B2_annealed,49,6,2.0,15,GPmodel,7.901553153991699,,0.5972460186678376,2.4905157846308157,1.2381489582863239,,,4.169999810439813,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_15.pt,,
vary_B2_annealed,49,6,2.0,15,VI_best_tau_by_ELBO,8.111228942871094,,0.26201876997947693,2.7139524529030843,2.2382496253502526,-657.8040283203125,0.9,,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_15.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,16,GPArealModel,8.518096923828125,,0.40849295959910353,5.1904185858932435,1.2111945304142526,,,12.706262039343686,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_16.pt,,
vary_B2_annealed,49,6,2.0,16,GPmodel,7.959953784942627,,0.5251186694894288,3.4362248803549287,0.9024786770923331,,,6.543711126660112,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_16.pt,,
vary_B2_annealed,49,6,2.0,16,VI_best_tau_by_ELBO,8.323826789855957,,0.2622716426849365,3.485320272060554,2.1339365327953885,-659.1960815429687,0.9,,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_16.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,17,GPArealModel,8.070465087890625,,0.6929265094085378,2.704297815213547,2.4551373092821263,,,3.9027195214711266,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_17.pt,,
vary_B2_annealed,49,6,2.0,17,GPmodel,7.970537185668945,,0.7887221337826489,2.1388118170912094,0.8469994638024073,,,2.7117431164682007,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_17.pt,,
vary_B2_annealed,49,6,2.0,17,VI_best_tau_by_ELBO,8.043058395385742,,0.2630176544189453,2.289607722330061,2.130802475696227,-641.6328735351562,0.9,,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_17.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,18,GPArealModel,7.9016218185424805,,0.6767449658677267,4.788197343629807,1.3798790554880696,,,7.0753350008157785,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_18.pt,,
vary_B2_annealed,49,6,2.0,18,GPmodel,8.036919593811035,,0.5548008393623021,3.2528249222472643,1.2940271581960934,,,5.863049749503117,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_18.pt,,
vary_B2_annealed,49,6,2.0,18,VI_best_tau_by_ELBO,8.268879890441895,,0.26265326142311096,3.532957981744097,2.6017250515352286,-678.8438232421875,0.9,,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_18.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,19,GPArealModel,7.832901954650879,,0.33176030851452937,4.2744831017727885,1.1019217855411954,,,12.884251045316315,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_19.pt,,
vary_B2_annealed,49,6,2.0,19,GPmodel,7.922335624694824,,0.5451085138085717,2.1301156902043386,1.0620515959955228,,,3.907691104146616,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_19.pt,,
vary_B2_annealed,49,6,2.0,19,VI_best_tau_by_ELBO,8.124061584472656,,0.26194772124290466,2.2789441160271218,1.8487977035073366,-637.9449584960937,0.9,,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_19.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,20,GPArealModel,7.335992813110352,,0.605308291018809,3.1433648417867976,0.6603238932502514,,,5.1929981604846756,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_20.pt,,
vary_B2_annealed,49,6,2.0,20,GPmodel,7.93080472946167,,0.8964666462788915,1.965241018326302,1.2459537593709105,,,2.1922076258874155,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_20.pt,,
vary_B2_annealed,49,6,2.0,20,VI_best_tau_by_ELBO,8.053314208984375,,0.26256898045539856,1.5958768516921737,2.5324198613829356,-657.0263305664063,0.9,,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_20.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,21,GPArealModel,8.274618148803711,,0.909774091227136,2.0453544619062725,1.288966858636719,,,2.2482003847212497,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_21.pt,,
vary_B2_annealed,49,6,2.0,21,GPmodel,8.040122985839844,,0.8275946249670215,1.698875654236832,0.9851855952163096,,,2.052787201589824,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_21.pt,,
vary_B2_annealed,49,6,2.0,21,VI_best_tau_by_ELBO,8.271271705627441,,0.2629501521587372,1.2244696750941138,2.1610787957600746,-630.9625854492188,0.9,,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_21.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,22,GPArealModel,8.348539352416992,,1.2758664376535056,3.143479507674792,1.7855837844472264,,,2.4637998264583905,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_22.pt,,
vary_B2_annealed,49,6,2.0,22,GPmodel,8.036627769470215,,0.7405652841309428,2.613220552430878,1.0970746542920407,,,3.5286835724381893,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_22.pt,,
vary_B2_annealed,49,6,2.0,22,VI_best_tau_by_ELBO,8.419607162475586,,0.2631911337375641,1.9525071287057238,2.4921153523512363,-660.80986328125,0.9,,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_22.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,23,GPArealModel,7.507721424102783,,1.203869813308181,2.9025084946486577,1.159474973790301,,,2.410982036897073,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_23.pt,,
vary_B2_annealed,49,6,2.0,23,GPmodel,7.890585422515869,,1.511768322301111,1.6575180350137282,1.5092078998147729,,,1.0964100851714944,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_23.pt,,
vary_B2_annealed,49,6,2.0,23,VI_best_tau_by_ELBO,8.004961967468262,,0.2626342475414276,1.2985080141959169,2.4515401329755946,-649.2686767578125,0.9,,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_23.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,24,GPArealModel,8.350799560546875,,0.4954248559963551,4.821706281793812,2.241454604110498,,,9.732467443719226,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_24.pt,,
vary_B2_annealed,49,6,2.0,24,GPmodel,8.037054061889648,,0.4467667376182145,4.090220578775017,1.154332164915235,,,9.15515913422884,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_24.pt,,
vary_B2_annealed,49,6,2.0,24,VI_best_tau_by_ELBO,8.34103012084961,,0.26273274421691895,3.9282310115075294,2.4154742460884027,-681.0298583984375,0.9,,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_24.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,25,GPArealModel,8.495223045349121,,0.23170988466496462,3.665072629372378,2.623412756438053,,,15.817506597406505,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_25.pt,,
vary_B2_annealed,49,6,2.0,25,GPmodel,7.993151664733887,,0.44118678018987834,2.869698828795049,0.9812060240725274,,,6.5044986786775105,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_25.pt,,
vary_B2_annealed,49,6,2.0,25,VI_best_tau_by_ELBO,8.451435089111328,,0.26194313168525696,1.9792688096899598,1.978543782217873,-637.823291015625,0.9,,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_25.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,26,GPArealModel,8.533292770385742,,0.18114577621731529,7.898151103373854,1.52374128896872,,,43.60107791803367,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_26.pt,,
vary_B2_annealed,49,6,2.0,26,GPmodel,7.9632792472839355,,0.29530407550183796,4.71739572932872,1.0050514811853066,,,15.974705805573478,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_26.pt,,
vary_B2_annealed,49,6,2.0,26,VI_best_tau_by_ELBO,8.279500007629395,,0.26130911707878113,3.5001796798131632,1.9796234903720697,-666.1830932617188,0.9,,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_26.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,27,GPArealModel,8.350028038024902,,0.5010126032595545,3.8410048044879948,0.8109120353808728,,,7.6664833968221044,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_27.pt,,
vary_B2_annealed,49,6,2.0,27,GPmodel,8.007781028747559,,0.6252447029280306,2.0569860558677764,0.8132265006574368,,,3.289889616393196,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_27.pt,,
vary_B2_annealed,49,6,2.0,27,VI_best_tau_by_ELBO,8.080971717834473,,0.26256871223449707,2.200807418666581,2.3221107185254106,-683.314306640625,0.9,,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_27.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,28,GPArealModel,7.519942283630371,,0.6552731826643599,2.969557289404932,0.63366840737738,,,4.531785166807262,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_28.pt,,
vary_B2_annealed,49,6,2.0,28,GPmodel,7.959469318389893,,0.7147438969758857,2.1818802624442846,0.9041784059776118,,,3.0526742119462935,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_28.pt,,
vary_B2_annealed,49,6,2.0,28,VI_best_tau_by_ELBO,8.042978286743164,,0.2626761496067047,2.4685324290939428,2.0679268650940066,-644.0397705078125,0.9,,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_28.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,29,GPArealModel,8.024543762207031,,0.2406004970164609,5.625449648121493,2.5493569302000174,,,23.38087293201486,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_29.pt,,
vary_B2_annealed,49,6,2.0,29,GPmodel,7.996258735656738,,0.32623483287200905,4.765105081362618,1.1542281730208577,,,14.606365112557127,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_29.pt,,
vary_B2_annealed,49,6,2.0,29,VI_best_tau_by_ELBO,8.295713424682617,,0.2626313865184784,4.906937052826617,1.7224060518132915,-671.3765502929688,0.9,,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_29.pt,6.0,6.0
vary_B2_annealed,49,6,2.0,30,GPArealModel,7.619551658630371,,0.7594177273238119,3.550610803717593,0.9855498715744347,,,4.675438399667001,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_30.pt,,
vary_B2_annealed,49,6,2.0,30,GPmodel,7.905383586883545,,0.7306173239121239,2.190330599668557,1.079855306508963,,,2.9979176895783572,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_30.pt,,
vary_B2_annealed,49,6,2.0,30,VI_best_tau_by_ELBO,8.125483512878418,,0.26296812295913696,2.295048666033004,2.1603046811500044,-649.5401245117188,0.9,,../data/results/vary_B2_annealed/B_49_n_6/phi_2.0/results_seed_30.pt,6.0,6.0
