{'B': 25, 'beta': 0.5, 'case': 'X', 'mse_areal': np.float64(0.1409), 'mse_oracle': np.float64(0.0145), 'mse_cl': np.float64(0.2674), 'bias_cl': np.float64(-0.2315), 'mse_cl_local': np.float64(0.1424), 'bias_cl_local': np.float64(-0.1143), 'wrong_sign_cl': np.float64(0.2467), 'Iagg': np.float64(7.0373), 'Icl': np.float64(29.7727), 'pred_ratio': np.float64(4.2307), 'mse_bound_areal': 0.8913, 'emp_ratio': np.float64(0.527), 'emp_ratio_local': np.float64(0.9894), 'Ior': np.float64(83.0112)}
{'B': 25, 'beta': 1.0, 'case': 'X', 'mse_areal': np.float64(0.1368), 'mse_oracle': np.float64(0.0155), 'mse_cl': np.float64(0.3451), 'bias_cl': np.float64(-0.1676), 'mse_cl_local': np.float64(0.0448), 'bias_cl_local': np.float64(-0.0194), 'wrong_sign_cl': np.float64(0.08), 'Iagg': np.float64(6.7622), 'Icl': np.float64(44.2558), 'pred_ratio': np.float64(6.5446), 'mse_bound_areal': 0.8913, 'emp_ratio': np.float64(0.3965), 'emp_ratio_local': np.float64(3.0571), 'Ior': np.float64(79.3779)}
{'B': 25, 'beta': 2.0, 'case': 'X', 'mse_areal': np.float64(0.1502), 'mse_oracle': np.float64(0.014), 'mse_cl': np.float64(0.0194), 'bias_cl': np.float64(-0.0065), 'mse_cl_local': np.float64(0.0184), 'bias_cl_local': np.float64(-0.0056), 'wrong_sign_cl': np.float64(0.0), 'Iagg': np.float64(7.1292), 'Icl': np.float64(56.6501), 'pred_ratio': np.float64(7.9462), 'mse_bound_areal': 0.8913, 'emp_ratio': np.float64(7.7348), 'emp_ratio_local': np.float64(8.1526), 'Ior': np.float64(81.3341)}
{'B': 49, 'beta': 0.5, 'case': 'X', 'mse_areal': np.float64(0.0668), 'mse_oracle': np.float64(0.0053), 'mse_cl': np.float64(0.2443), 'bias_cl': np.float64(-0.232), 'mse_cl_local': np.float64(0.0675), 'bias_cl_local': np.float64(-0.0616), 'wrong_sign_cl': np.float64(0.24), 'Iagg': np.float64(17.2548), 'Icl': np.float64(69.7676), 'pred_ratio': np.float64(4.0434), 'mse_bound_areal': 0.4362, 'emp_ratio': np.float64(0.2735), 'emp_ratio_local': np.float64(0.9907), 'Ior': np.float64(184.2928)}
{'B': 49, 'beta': 1.0, 'case': 'X', 'mse_areal': np.float64(0.0672), 'mse_oracle': np.float64(0.0058), 'mse_cl': np.float64(0.0087), 'bias_cl': np.float64(-0.0072), 'mse_cl_local': np.float64(0.0085), 'bias_cl_local': np.float64(-0.0059), 'wrong_sign_cl': np.float64(0.0), 'Iagg': np.float64(17.7337), 'Icl': np.float64(111.9122), 'pred_ratio': np.float64(6.3107), 'mse_bound_areal': 0.4362, 'emp_ratio': np.float64(7.7583), 'emp_ratio_local': np.float64(7.8742), 'Ior': np.float64(186.4053)}
{'B': 49, 'beta': 2.0, 'case': 'X', 'mse_areal': np.float64(0.0707), 'mse_oracle': np.float64(0.0059), 'mse_cl': np.float64(0.0082), 'bias_cl': np.float64(0.0132), 'mse_cl_local': np.float64(0.0082), 'bias_cl_local': np.float64(0.0114), 'wrong_sign_cl': np.float64(0.0), 'Iagg': np.float64(18.4087), 'Icl': np.float64(131.1908), 'pred_ratio': np.float64(7.1266), 'mse_bound_areal': 0.4362, 'emp_ratio': np.float64(8.6721), 'emp_ratio_local': np.float64(8.5929), 'Ior': np.float64(184.7155)}
{'B': 100, 'beta': 0.5, 'case': 'X', 'mse_areal': np.float64(0.0183), 'mse_oracle': np.float64(0.0028), 'mse_cl': np.float64(0.088), 'bias_cl': np.float64(-0.0862), 'mse_cl_local': np.float64(0.0071), 'bias_cl_local': np.float64(-0.0075), 'wrong_sign_cl': np.float64(0.0867), 'Iagg': np.float64(48.192), 'Icl': np.float64(164.4866), 'pred_ratio': np.float64(3.4132), 'mse_bound_areal': 0.2092, 'emp_ratio': np.float64(0.2078), 'emp_ratio_local': np.float64(2.5818), 'Ior': np.float64(431.4446)}
{'B': 100, 'beta': 1.0, 'case': 'X', 'mse_areal': np.float64(0.0174), 'mse_oracle': np.float64(0.0025), 'mse_cl': np.float64(0.0039), 'bias_cl': np.float64(0.0028), 'mse_cl_local': np.float64(0.0039), 'bias_cl_local': np.float64(0.0028), 'wrong_sign_cl': np.float64(0.0), 'Iagg': np.float64(47.3121), 'Icl': np.float64(278.217), 'pred_ratio': np.float64(5.8805), 'mse_bound_areal': 0.2092, 'emp_ratio': np.float64(4.516), 'emp_ratio_local': np.float64(4.516), 'Ior': np.float64(438.4014)}
{'B': 100, 'beta': 2.0, 'case': 'X', 'mse_areal': np.float64(0.0203), 'mse_oracle': np.float64(0.0026), 'mse_cl': np.float64(0.0037), 'bias_cl': np.float64(0.0038), 'mse_cl_local': np.float64(0.0036), 'bias_cl_local': np.float64(0.0036), 'wrong_sign_cl': np.float64(0.0), 'Iagg': np.float64(48.117), 'Icl': np.float64(321.2959), 'pred_ratio': np.float64(6.6774), 'mse_bound_areal': 0.2092, 'emp_ratio': np.float64(5.5128), 'emp_ratio_local': np.float64(5.5668), 'Ior': np.float64(432.4928)}
{'B': 25, 'beta': 0.5, 'case': 'G', 'mse_areal': np.float64(0.1308), 'mse_oracle': np.float64(0.0133), 'mse_cl': np.float64(0.1784), 'bias_cl': np.float64(-0.1682), 'mse_cl_local': np.float64(0.1205), 'bias_cl_local': np.float64(-0.1171), 'wrong_sign_cl': np.float64(0.1333), 'Iagg': np.float64(6.3999), 'Icl': np.float64(21.6325), 'pred_ratio': np.float64(3.3801), 'mse_bound_areal': 0.8913, 'emp_ratio': np.float64(0.7334), 'emp_ratio_local': np.float64(1.0856), 'Ior': np.float64(80.9881)}
{'B': 25, 'beta': 1.0, 'case': 'G', 'mse_areal': np.float64(0.1945), 'mse_oracle': np.float64(0.0115), 'mse_cl': np.float64(0.2368), 'bias_cl': np.float64(-0.0979), 'mse_cl_local': np.float64(0.1032), 'bias_cl_local': np.float64(-0.0339), 'wrong_sign_cl': np.float64(0.0533), 'Iagg': np.float64(6.8302), 'Icl': np.float64(40.4012), 'pred_ratio': np.float64(5.9151), 'mse_bound_areal': 0.8913, 'emp_ratio': np.float64(0.8216), 'emp_ratio_local': np.float64(1.8844), 'Ior': np.float64(78.4833)}
