{'B': 64, 'Kmean': 20, 'beta': 0.25, 'mode': 0, 'nu': 0.5, 'phi': 0.5, 'xfield': None, 'mse_areal': 0.1306, 'mse_oracle': 0.0007, 'mse_aug': 0.0758, 'bias_aug': -0.1585, 'wrong_sign': 0.25, 'ratio': 1.7217, 'oracle_over_aug': 0.0087, 'sec': 0.7185}
{'B': 100, 'Kmean': 30, 'beta': 0.25, 'mode': 0, 'nu': 0.5, 'phi': 0.5, 'xfield': None, 'mse_areal': 0.0959, 'mse_oracle': 0.0002, 'mse_aug': 0.051, 'bias_aug': -0.0887, 'wrong_sign': 0.25, 'ratio': 1.8809, 'oracle_over_aug': 0.0038, 'sec': 1.971}
{'B': 64, 'Kmean': 20, 'beta': 0.5, 'mode': 0, 'nu': 0.5, 'phi': 0.5, 'xfield': None, 'mse_areal': 0.1306, 'mse_oracle': 0.0007, 'mse_aug': 0.0898, 'bias_aug': -0.1288, 'wrong_sign': 0.1, 'ratio': 1.4535, 'oracle_over_aug': 0.0073, 'sec': 0.9341}
{'B': 100, 'Kmean': 30, 'beta': 0.5, 'mode': 0, 'nu': 0.5, 'phi': 0.5, 'xfield': None, 'mse_areal': 0.0959, 'mse_oracle': 0.0002, 'mse_aug': 0.0753, 'bias_aug': -0.0907, 'wrong_sign': 0.075, 'ratio': 1.2735, 'oracle_over_aug': 0.0026, 'sec': 2.3215}
{'B': 64, 'Kmean': 20, 'beta': 1.0, 'mode': 0, 'nu': 0.5, 'phi': 0.5, 'xfield': None, 'mse_areal': 0.1306, 'mse_oracle': 0.0007, 'mse_aug': 0.0014, 'bias_aug': -0.0094, 'wrong_sign': 0.0, 'ratio': 95.2211, 'oracle_over_aug': 0.4809, 'sec': 0.926}
{'B': 64, 'Kmean': 20, 'beta': 2.0, 'mode': 0, 'nu': 0.5, 'phi': 0.5, 'xfield': None, 'mse_areal': 0.1306, 'mse_oracle': 0.0007, 'mse_aug': 0.001, 'bias_aug': -0.0026, 'wrong_sign': 0.0, 'ratio': 133.4382, 'oracle_over_aug': 0.6738, 'sec': 0.5969}
{'B': 100, 'Kmean': 30, 'beta': 1.0, 'mode': 0, 'nu': 0.5, 'phi': 0.5, 'xfield': None, 'mse_areal': 0.0735, 'mse_oracle': 0.0002, 'mse_aug': 0.0005, 'bias_aug': 0.0052, 'wrong_sign': 0.0, 'ratio': 162.9879, 'oracle_over_aug': 0.453, 'sec': 1.1591}
{'B': 64, 'Kmean': 20, 'beta': 0.25, 'mode': 2, 'nu': 0.5, 'phi': 0.5, 'xfield': 0.3, 'mse_areal': 0.0671, 'mse_oracle': 0.0061, 'mse_aug': 0.0597, 'bias_aug': -0.0415, 'wrong_sign': 0.2083, 'ratio': 1.1235, 'oracle_over_aug': 0.1015, 'sec': 0.4709}
{'B': 64, 'Kmean': 20, 'beta': 0.5, 'mode': 2, 'nu': 0.5, 'phi': 0.5, 'xfield': 0.3, 'mse_areal': 0.0671, 'mse_oracle': 0.0061, 'mse_aug': 0.044, 'bias_aug': -0.0392, 'wrong_sign': 0.0, 'ratio': 1.5245, 'oracle_over_aug': 0.1378, 'sec': 0.4993}
{'B': 64, 'Kmean': 20, 'beta': 1.0, 'mode': 2, 'nu': 0.5, 'phi': 0.5, 'xfield': 0.3, 'mse_areal': 0.0671, 'mse_oracle': 0.0061, 'mse_aug': 0.0288, 'bias_aug': -0.0304, 'wrong_sign': 0.0, 'ratio': 2.3328, 'oracle_over_aug': 0.2108, 'sec': 0.4945}
{'B': 64, 'Kmean': 20, 'beta': 2.0, 'mode': 2, 'nu': 0.5, 'phi': 0.5, 'xfield': 0.3, 'mse_areal': 0.0671, 'mse_oracle': 0.0061, 'mse_aug': 0.0207, 'bias_aug': -0.0216, 'wrong_sign': 0.0, 'ratio': 3.2349, 'oracle_over_aug': 0.2923, 'sec': 0.4244}
{'B': 64, 'Kmean': 20, 'beta': 0.25, 'mode': 1, 'nu': 0.5, 'phi': 0.5, 'xfield': None, 'mse_areal': 0.0705, 'mse_oracle': 0.0006, 'mse_aug': 0.0406, 'bias_aug': -0.1122, 'wrong_sign': 0.1667, 'ratio': 1.735, 'oracle_over_aug': 0.014, 'sec': 0.4725}
{'B': 64, 'Kmean': 20, 'beta': 0.5, 'mode': 1, 'nu': 0.5, 'phi': 0.5, 'xfield': None, 'mse_areal': 0.0705, 'mse_oracle': 0.0006, 'mse_aug': 0.0429, 'bias_aug': -0.052, 'wrong_sign': 0.0417, 'ratio': 1.6432, 'oracle_over_aug': 0.0133, 'sec': 0.4621}
{'B': 64, 'Kmean': 20, 'beta': 1.0, 'mode': 1, 'nu': 0.5, 'phi': 0.5, 'xfield': None, 'mse_areal': 0.0705, 'mse_oracle': 0.0006, 'mse_aug': 0.0008, 'bias_aug': -0.0037, 'wrong_sign': 0.0, 'ratio': 85.7538, 'oracle_over_aug': 0.6943, 'sec': 0.3903}
{'B': 64, 'Kmean': 20, 'beta': 2.0, 'mode': 1, 'nu': 0.5, 'phi': 0.5, 'xfield': None, 'mse_areal': 0.0705, 'mse_oracle': 0.0006, 'mse_aug': 0.0009, 'bias_aug': -0.0017, 'wrong_sign': 0.0, 'ratio': 82.8837, 'oracle_over_aug': 0.671, 'sec': 0.2882}
{'B': 64, 'Kmean': 20, 'beta': 1.0, 'mode': 0, 'nu': 1.5, 'phi': 0.5, 'xfield': None, 'mse_areal': 0.0249, 'mse_oracle': 0.0005, 'mse_aug': 0.0012, 'bias_aug': -0.0017, 'wrong_sign': 0.0, 'ratio': 20.9229, 'oracle_over_aug': 0.4249, 'sec': 0.3965}
{'B': 12, 'Kmean': 96, 'beta': 1.0, 'mode': 1, 'nu': 0.5, 'phi': 0.5, 'xfield': None, 'mse_areal': 1.8166, 'mse_oracle': 0.0009, 'mse_aug': 0.516, 'bias_aug': -0.2594, 'wrong_sign': 0.125, 'ratio': 3.5202, 'oracle_over_aug': 0.0018, 'sec': 0.5228}
{'B': 100, 'Kmean': 30, 'beta': 2.0, 'mode': 0, 'nu': 0.5, 'phi': 0.5, 'xfield': None, 'mse_areal': 0.0735, 'mse_oracle': 0.0002, 'mse_aug': 0.0003, 'bias_aug': 0.0067, 'wrong_sign': 0.0, 'ratio': 266.4862, 'oracle_over_aug': 0.7407, 'sec': 0.7816}
