w_oracle,w_oracle_distorted,mu_W_vi,mu_W_vi_perm
0.50600433,0.14001656,0.1714857,0.3993067
0.535696,0.50600433,0.3993067,0.29799232
0.14001656,0.06291008,0.090672515,0.1714857
0.35773468,0.535696,0.29799232,0.34635207
0.06291008,0.35773468,0.34635207,0.090672515
0.22167206,0.3963585,0.2955311,0.189186
0.540678,0.22167206,0.189186,0.38323095
0.3963585,0.19099045,0.19765799,0.2955311
0.66402626,0.540678,0.38323095,0.4258898
0.19099045,0.66402626,0.4258898,0.19765799
0.47964287,0.006389618,-0.062208455,0.302688
0.2614956,0.47964287,0.302688,0.107558616
0.006389618,0.015369415,0.07234616,-0.062208455
-0.31820107,0.2614956,0.107558616,-0.16010688
0.015369415,-0.31820107,-0.16010688,0.07234616
0.056390762,0.47620964,0.32458788,0.033961672
-0.004053116,0.056390762,0.033961672,-0.03467998
0.47620964,0.0373497,-0.14082302,0.32458788
-0.066308975,-0.004053116,-0.03467998,-0.12773491
0.0373497,-0.066308975,-0.12773491,-0.14082302
-0.037960052,-0.2025547,-0.15836544,-0.027350591
-0.035531998,-0.037960052,-0.027350591,0.006247548
-0.2025547,-0.2410183,-0.14420904,-0.15836544
0.07747269,-0.035531998,0.006247548,0.086707704
-0.2410183,0.07747269,0.086707704,-0.14420904
0.094394684,-0.6043072,-0.4028359,0.12259182
-0.36994553,0.094394684,0.12259182,-0.2092919
-0.6043072,0.087638855,0.14862008,-0.4028359
-0.4993534,-0.36994553,-0.2092919,-0.39018902
0.087638855,-0.4993534,-0.39018902,0.14862008
-0.5967636,0.07725525,0.13779879,-0.37296855
0.2143631,-0.5967636,-0.37296855,0.0055369576
0.07725525,0.29286385,0.14039372,0.13779879
-0.53491974,0.2143631,0.0055369576,-0.32894632
0.29286385,-0.53491974,-0.32894632,0.14039372
0.05055237,0.14480019,0.10479077,-0.16397512
-0.7526684,0.05055237,-0.16397512,-0.5445485
0.14480019,-0.22510529,-0.06719462,0.10479077
0.003742218,-0.7526684,-0.5445485,-0.15136239
-0.22510529,0.003742218,-0.15136239,-0.06719462
-0.794857,-0.64043045,-0.5704516,-0.4950776
-0.5894871,-0.794857,-0.4950776,-0.4595962
-0.64043045,-0.30858994,-0.16828386,-0.5704516
-0.008651733,-0.5894871,-0.4595962,-0.15807125
-0.30858994,-0.008651733,-0.15807125,-0.16828386
0.18801117,-0.15343666,-0.061522678,0.11158478
0.42892647,0.18801117,0.11158478,0.26692343
-0.15343666,-0.87812424,-0.5793939,-0.061522678
0.6238823,0.42892647,0.26692343,0.45492163
-0.87812424,0.6238823,0.45492163,-0.5793939
-0.595829,0.7425823,0.58785987,-0.3720878
-0.31098557,-0.595829,-0.3720878,-0.19572137
0.7425823,0.120191574,0.2837972,0.58785987
-0.7575245,-0.31098557,-0.19572137,-0.5511164
0.120191574,-0.7575245,-0.5511164,0.2837972
-0.12599945,0.797781,0.6941285,-0.027191587
-0.68741417,-0.12599945,-0.027191587,-0.4418291
0.797781,-0.45197678,-0.3390743,0.6941285
-0.8567257,-0.68741417,-0.4418291,-0.4985665
-0.45197678,-0.8567257,-0.4985665,-0.3390743
-0.5520687,-0.69631577,-0.41119343,-0.43452573
